repeat_flag predicted,repeat_flag_probability,repeat_flag,category,company,brand,l_offer,quantity,offervalue,agg_qty,agg_amt,l_alias_gender,age,state,__of_subscriber,avg___daily_calls_received
0,0.018,0,_5616,_104610040,_15889,_1204576,1,1,2,6.78,F,16-25,OH,518817,14364
0,0.465,0,_4401,_105100050,_13791,_1199256,1,2,1,2.99,F,16-25,SC,550478,16754
0,0.137,0,_3203,_106414464,_13474,_1197502,1,0.75,3,10.87,F,16-25,CA,501278,15143
0,0.723,1,_4401,_105100050,_13791,_1199258,1,2,2,6.98,F,36-45,VA,508604,15226
0,0.707,1,_4401,_105100050,_13791,_1199258,1,2,2,3.56,F,26-35,AZ,525634,14637
0,0.68,1,_5616,_104610040,_15889,_1204576,1,1,2,5.28,F,36-45,NC,582264,15795
0,0.121,0,_4401,_105100050,_13791,_1199258,1,2,1,2.59,F,36-45,MI,550245,15990
0,0.089,0,_4401,_105100050,_13791,_1199258,1,2,2,2.18,M,16-25,MD,531718,14784
0,0.506,0,_3203,_106414464,_13474,_1197502,1,0.75,50,146.7,M,36-45,KS,529882,15734
0,0.44,0,_3203,_106414464,_13474,_1197502,1,0.75,3,15.17,F,16-25,PA,462612,14844
0,0.999,1,_2202,_104460040,_3718,_1208251,1,2,2,7.98,F,36-45,ID,459322,15012
0,0.183,0,_3203,_106414464,_13474,_1197502,1,0.75,21,22.44,M,36-45,CT,476402,15845
0,0.824,1,_6202,_1087744888,_64486,_1208503,1,1.5,6,32.54,M,26-35,OH,521816,15368
0,0.767,1,_2202,_104460040,_3718,_1208251,1,2,4,11.96,F,26-35,PA,548282,15546
0,0.625,0,_2119,_108079383,_6926,_1208329,1,1,3,3,F,16-25,MI,506433,15157
0,0.664,1,_2202,_104460040,_3718,_1208252,1,3,5,15.97,M,26-35,MD,528964,14927
0,0.41,0,_3203,_106414464,_13474,_1197502,1,0.75,1,3.69,M,16-25,VA,518952,15360
0,0.999,1,_3203,_106414464,_13474,_1197502,1,0.75,5,7.15,F,36-45,OK,512188,16047
0,0.213,0,_5558,_107120272,_5072,_1198271,1,1.5,15,68.75,F,16-25,KS,516618,15495
0,0.764,1,_5616,_104610040,_15889,_1204576,1,1,5,25.55,M,26-35,FL,516096,15861
0,0.879,1,_5616,_104610040,_15889,_1204576,1,1,26,49.36,F,16-25,AZ,563720,16276
0,0.016,0,_5616,_104610040,_15889,_1204576,1,1,18,53.05,M,26-35,OK,510791,15442
0,0.116,0,_1726,_104460040,_7668,_1200581,1,1.25,2,3.19,F,16-25,MN,507503,15737
0,0.88,1,_5616,_104610040,_15889,_1204576,1,1,2,7.58,F,36-45,UT,537914,15493
0,0.831,1,_3203,_106414464,_13474,_1197502,1,0.75,5,28.45,M,26-35,ID,552738,16641
0,0.622,0,_5558,_107120272,_5072,_1198274,1,1.5,1,6.29,M,36-45,LA,590646,16883
0,0.142,0,_3203,_106414464,_13474,_1197502,1,0.75,4,23.96,F,36-45,IN,490977,14698
0,0.606,0,_4401,_105100050,_13791,_1199258,1,2,12,41.68,F,26-35,AL,532816,15649
0,0.363,0,_3203,_106414464,_13474,_1197502,1,0.75,6,32.94,M,26-35,KY,526763,15521
0,0.93,1,_2119,_108079383,_6926,_1208329,1,1,36,44.27,M,36-45,LA,590646,16883
0,0.007,0,_3203,_106414464,_13474,_1197502,1,0.75,1,1.59,M,36-45,OH,517362,15509
0,0.312,0,_2202,_104460040,_3718,_1208251,1,2,2,7.98,F,36-45,IL,518627,15672
0,0.51,0,_5558,_107120272,_5072,_1198272,1,1.5,4,12.76,M,26-35,WA,517404,15870
0,0.249,0,_2202,_104460040,_3718,_1208251,1,2,2,3.49,M,26-35,MI,519430,15405
0,0.414,0,_3203,_106414464,_13474,_1197502,1,0.75,1,7.99,M,36-45,NC,529551,15379
0,0.394,0,_1703,_104460040,_7668,_1200579,1,1.5,17,51.19,M,26-35,WI,557816,16334
0,0.176,0,_4401,_105100050,_13791,_1199258,1,2,5,10.93,F,16-25,NY,499716,14844
1,0.757,1,_2202,_104460040,_3718,_1208252,1,3,5,34.95,F,26-35,ID,560017,15184
0,0.057,0,_3203,_106414464,_13474,_1197502,1,0.75,5,47.95,M,26-35,AR,530914,15854
0,0.868,1,_2202,_104460040,_3718,_1208251,1,2,4,-4.25,M,16-25,WI,551962,16070
0,0.181,0,_3203,_106414464,_13474,_1197502,1,0.75,2,2,F,16-25,SC,550478,16754
0,0.187,0,_9909,_1089520383,_28840,_1203052,1,1,1,4.59,M,36-45,MI,563625,14973
0,0.017,0,_3203,_106414464,_13474,_1197502,1,0.75,11,30.55,M,26-35,NC,529376,15524
0,0.876,1,_3203,_106414464,_13474,_1197502,1,0.75,2,3.69,F,26-35,TX,478150,15275
0,0.955,1,_5558,_107120272,_5072,_1198274,1,1.5,3,69.47,F,36-45,WA,505717,14929
0,0.295,0,_4401,_105100050,_13791,_1199258,1,2,1,4.99,M,16-25,UT,560327,16434
0,0.282,0,_3203,_106414464,_13474,_1197502,1,0.75,8,7.39,M,36-45,NC,529551,15379
0,0.88,1,_1726,_104460040,_7668,_1200581,1,1.25,1,1.59,F,16-25,MN,507503,15737
1,0.68,1,_2119,_108079383,_6926,_1208329,1,1,8,11.36,M,16-25,IL,506578,15371
0,0.379,0,_4401,_105100050,_13791,_1199258,1,2,5,35.31,F,26-35,OK,479346,15639
0,0.619,0,_5616,_104610040,_15889,_1204576,1,1,2,13.38,F,16-25,UT,502082,15541
0,0.894,1,_9909,_1089520383,_28840,_1203052,1,1,2,5.5,F,16-25,KS,516618,15495
0,0.725,1,_3203,_106414464,_13474,_1197502,1,0.75,1,2.99,F,16-25,MI,506433,15157
0,0.809,1,_3203,_106414464,_13474,_1197502,1,0.75,2,23.98,F,26-35,ID,560017,15184
0,0.435,0,_3203,_106414464,_13474,_1197502,1,0.75,2,6.29,F,16-25,NJ,534222,15897
0,0.657,0,_3203,_106414464,_13474,_1197502,1,0.75,1,6.49,F,16-25,OH,507340,16407
0,0.55,0,_3203,_106414464,_13474,_1197502,1,0.75,5,18.06,M,26-35,IL,481503,14624
0,0.552,0,_4401,_105100050,_13791,_1199258,1,2,1,8.29,F,16-25,CA,501278,15143
0,0.514,0,_3203,_106414464,_13474,_1197502,1,0.75,12,16.48,M,16-25,FL,570370,16291
0,0.846,1,_3203,_106414464,_13474,_1197502,1,0.75,17,57.83,F,36-45,AL,469383,14668
0,0.668,1,_3203,_106414464,_13474,_1197502,1,0.75,1,3,F,16-25,AZ,563720,16276
0,0.983,1,_2119,_108079383,_6926,_1208329,1,1,3,10.97,F,36-45,KY,519732,15125
0,0.11,0,_2202,_104460040,_3718,_1208251,1,2,16,13.59,M,36-45,VA,498980,14567
1,0.993,1,_6202,_1087744888,_64486,_1208501,1,1.5,2,3.98,F,26-35,ME,532723,14606
0,0.105,0,_3203,_106414464,_13474,_1197502,1,0.75,7,20.03,M,36-45,VA,498980,14567
0,0.63,0,_2202,_104460040,_3718,_1208251,1,2,2,8.49,F,26-35,KS,528758,16010
0,0.373,0,_3203,_106414464,_13474,_1197502,1,0.75,1,4.79,F,36-45,OK,512188,16047
0,0.078,0,_1726,_104460040,_7668,_1200581,1,1.25,3,4.17,M,16-25,FL,570370,16291
0,0.018,0,_2202,_104460040,_3718,_1208251,1,2,1,7.49,M,16-25,MI,499035,15792
1,0.084,0,_2202,_104460040,_3718,_1208252,1,3,8,37.52,F,36-45,AL,469383,14668
0,0.092,0,_6202,_1087744888,_64486,_1208501,1,1.5,2,3.79,M,16-25,PA,481293,14985
0,0.863,1,_3203,_106414464,_13474,_1197502,1,0.75,1,6.59,F,36-45,NJ,516518,15743
0,0.4,0,_3203,_106414464,_13474,_1197502,1,0.75,2,2.18,M,26-35,ME,548854,15834
0,0.644,0,_2119,_108079383,_6926,_1208329,1,1,1,2.99,F,36-45,MI,550245,15990
0,0.091,0,_2202,_104460040,_3718,_1208251,1,2,2,-0.01,M,26-35,OK,510791,15442
0,0.302,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.79,M,26-35,AZ,519723,15140
0,0.159,0,_2202,_104460040,_3718,_1208251,1,2,1,2.29,F,36-45,OH,564409,15996
0,0.452,0,_3203,_106414464,_13474,_1197502,1,0.75,1,4.59,F,16-25,ID,562848,16059
0,0.664,1,_2119,_108079383,_6926,_1208329,1,1,2,-3.01,F,26-35,IN,497780,14676
0,0.636,0,_2202,_104460040,_3718,_1208252,1,3,4,23.06,M,26-35,IA,506879,16070
0,0.154,0,_9909,_107127979,_6732,_1194044,1,1,3,10.77,M,26-35,KY,526763,15521
0,0.394,0,_2119,_108079383,_6926,_1208329,1,1,6,20.69,F,26-35,AZ,525634,14637
0,0.309,0,_3203,_106414464,_13474,_1197502,1,0.75,1,15.79,F,36-45,PA,540030,15788
0,0.231,0,_3203,_106414464,_13474,_1197502,1,0.75,3,7.99,M,26-35,FL,516096,15861
0,0.805,1,_6202,_1087744888,_64486,_1208501,1,1.5,10,41.1,M,26-35,WA,517404,15870
0,0.6,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.5,F,36-45,IL,518627,15672
0,0.411,0,_2119,_108079383,_6926,_1208329,1,1,1,5.11,F,16-25,TX,548315,16465
0,0.362,0,_4401,_105100050,_13791,_1199258,1,2,3,10.97,F,16-25,FL,523296,16138
0,0.745,1,_9909,_1089520383,_28840,_1203052,1,1,1,1.79,F,16-25,KS,516618,15495
0,0.027,0,_3203,_106414464,_13474,_1197502,1,0.75,13,17.32,M,26-35,OH,542665,15277
0,0.177,0,_2202,_104460040,_3718,_1208251,1,2,11,21.89,F,16-25,IL,481150,15586
0,0.481,0,_5558,_107120272,_5072,_1198275,1,1.5,29,69.4,F,26-35,VA,430057,13973
1,0.495,0,_2119,_108079383,_6926,_1208329,1,1,21,25.15,M,16-25,ID,494103,15303
0,0.728,1,_3203,_106414464,_13474,_1197502,1,0.75,5,10.15,M,16-25,OK,540083,14979
0,0.605,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.79,M,36-45,AL,488582,14947
0,0.615,0,_3203,_106414464,_13474,_1197502,1,0.75,45,407.97,F,36-45,MI,550245,15990
0,0.862,1,_2119,_108079383,_6926,_1208329,1,1,2,4.58,M,26-35,WA,517404,15870
0,0.107,0,_2202,_104460040,_3718,_1208251,1,2,1,3.59,M,36-45,OK,515688,16333
0,0.636,0,_3203,_106414464,_13474,_1197502,1,0.75,3,29.97,M,36-45,MN,491903,14950
0,0.16,0,_6202,_1087744888,_64486,_1208501,1,1.5,11,42.11,F,16-25,CO,544042,15598
0,0.512,0,_4401,_105100050,_13791,_1199258,1,2,13,31.05,F,36-45,VA,508604,15226
0,0.589,0,_9909,_1089520383,_28840,_1203052,1,1,27,107.73,M,26-35,AZ,519723,15140
0,0.949,1,_6202,_1087744888,_64486,_1208501,1,1.5,4,10.16,F,16-25,IA,500178,14115
1,0.972,1,_2119,_108079383,_6926,_1208329,1,1,1,-1.91,M,26-35,WI,557816,16334
0,0.735,1,_3203,_106414464,_13474,_1197502,1,0.75,1,3.99,M,36-45,ME,534090,16006
0,0.41,0,_5616,_104610040,_15889,_1204576,1,1,2,4.98,M,36-45,ME,534090,16006
0,0.374,0,_9909,_1089520383,_28840,_1203052,1,1,3,7.48,F,26-35,TX,478150,15275
0,0.206,0,_3203,_106414464,_13474,_1197502,1,0.75,3,11.27,F,36-45,ME,514108,14869
0,0.058,0,_3203,_106414464,_13474,_1197502,1,0.75,11,12.67,M,26-35,IL,481503,14624
0,0.52,0,_3203,_106414464,_13474,_1197502,1,0.75,8,28.12,F,26-35,UT,498601,15191
0,0.457,0,_3203,_106414464,_13474,_1197502,1,0.75,3,7.07,M,16-25,OH,551256,16599
1,0.876,1,_6202,_1087744888,_64486,_1208501,1,1.5,79,1510.54,F,36-45,KY,519732,15125
0,0.04,0,_3203,_106414464,_13474,_1197502,1,0.75,7,16.49,F,16-25,KY,529660,15316
0,0.473,0,_2202,_104460040,_3718,_1208251,1,2,5,4.25,F,26-35,WA,537174,16005
0,0.399,0,_9909,_1089520383,_28840,_1203052,1,1,1,1.59,F,26-35,IA,539430,15849
0,0.525,0,_3203,_106414464,_13474,_1197502,1,0.75,3,4.39,M,36-45,KS,529882,15734
0,0.494,0,_6202,_1087744888,_64486,_1208503,1,1.5,4,17.46,F,26-35,FL,499908,15414
0,0.796,1,_6202,_1087744888,_64486,_1208501,1,1.5,3,5.37,F,36-45,SC,491276,14897
0,0.44,0,_2202,_104460040,_3718,_1208251,1,2,11,46.59,F,26-35,IA,539430,15849
0,0.009,0,_2202,_104460040,_3718,_1208251,1,2,5,10.61,M,36-45,TX,530746,15736
0,0.088,0,_3203,_106414464,_13474,_1197502,1,0.75,2,5.38,F,16-25,NY,499716,14844
1,0.813,1,_2119,_108079383,_6926,_1208329,1,1,2,6.98,F,26-35,CA,543883,15543
0,0.441,0,_3203,_106414464,_13474,_1197502,1,0.75,2,2.44,M,16-25,IA,520152,15922
0,0.412,0,_9909,_1089520383,_28840,_1203052,1,1,2,3.98,F,36-45,CA,548941,15778
0,0.318,0,_3203,_106414464,_13474,_1197502,1,0.75,2,11.98,F,36-45,AZ,509720,15532
0,0.906,1,_2119,_108079383,_6926,_1208329,1,1,1,2.79,F,36-45,MD,551330,15613
1,0.459,0,_9909,_107127979,_6732,_1194044,1,1,9,11.5,F,16-25,VA,544947,15270
0,0.118,0,_3203,_106414464,_13474,_1197502,1,0.75,12,29.95,M,26-35,ME,548854,15834
0,0.024,0,_3203,_106414464,_13474,_1197502,1,0.75,2,9.38,M,16-25,NC,577492,15882
0,0.049,0,_2202,_104460040,_3718,_1208252,1,3,2,7.98,M,36-45,VA,498980,14567
0,0.207,0,_5616,_104610040,_15889,_1204576,1,1,10,104.77,M,36-45,UT,504584,15471
1,0.559,0,_9909,_107127979,_6732,_1194044,1,1,1,2.59,F,26-35,ID,560017,15184
0,0.131,0,_3203,_106414464,_13474,_1197502,1,0.75,6,7.38,M,36-45,WA,572208,15547
0,0.302,0,_6202,_1087744888,_64486,_1208501,1,1.5,8,27.92,M,16-25,WA,470797,15072
0,0.607,0,_2202,_104460040,_3718,_1208251,1,2,1,9.99,F,16-25,NC,495495,14959
0,0.903,1,_6202,_1087744888,_64486,_1208501,1,1.5,1,4.99,F,16-25,OH,507340,16407
1,0.844,1,_6202,_1087744888,_64486,_1208501,1,1.5,5,18.69,M,16-25,AR,514366,14703
0,0.331,0,_3203,_106414464,_13474,_1197502,1,0.75,3,2.85,M,26-35,IA,506879,16070
0,0.588,0,_5616,_104610040,_15889,_1204576,1,1,1,3.39,M,26-35,SC,538325,16451
0,0.308,0,_5619,_107717272,_102504,_1204822,1,1.5,1,1,M,36-45,ID,507998,15950
0,0.328,0,_3203,_106414464,_13474,_1197502,1,0.75,7,11.14,F,16-25,OH,507340,16407
0,0.267,0,_3203,_106414464,_13474,_1197502,1,0.75,2,4.38,F,36-45,MN,497340,15241
0,0.626,0,_4401,_105100050,_13791,_1199256,1,2,21,89.59,M,26-35,AR,530914,15854
0,0.87,1,_5619,_107717272,_102504,_1204822,1,1.5,2,34.15,M,16-25,CA,532044,16657
0,0.899,1,_2202,_104460040,_3718,_1208252,1,3,1,2.29,M,26-35,AZ,519723,15140
0,0.274,0,_2119,_108079383,_6926,_1208329,1,1,8,47.92,M,26-35,LA,497364,15735
0,0.086,0,_3203,_106414464,_13474,_1197502,1,0.75,2,9.08,F,36-45,CA,548941,15778
0,0.09,0,_3203,_106414464,_13474,_1197502,1,0.75,2,8.28,F,16-25,CA,501278,15143
0,0.423,0,_3203,_106414464,_13474,_1197502,1,0.75,2,4.18,M,36-45,NY,541998,16106
0,0.376,0,_5558,_107120272,_5072,_1198275,1,1.5,2,5.98,F,36-45,WI,551175,16469
0,0.448,0,_6202,_1087744888,_64486,_1208501,1,1.5,1,1.99,F,36-45,OH,510720,15057
1,0.959,1,_2119,_108079383,_6926,_1208329,1,1,2,10.78,F,16-25,CO,544042,15598
0,0.9,1,_2202,_104460040,_3718,_1208251,1,2,4,27.86,M,26-35,UT,527960,15623
0,0.786,1,_2202,_104460040,_3718,_1208251,1,2,13,62.19,F,36-45,MD,551330,15613
0,0.964,1,_5558,_107120272,_5072,_1198275,1,1.5,4,51.46,M,36-45,NJ,459696,14493
0,0.391,0,_6202,_1087744888,_64486,_1208501,1,1.5,1,3.99,M,26-35,NY,500350,16188
0,0.149,0,_3203,_106414464,_13474,_1197502,1,0.75,1,6.7,F,26-35,WA,537174,16005
0,0.197,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.99,F,26-35,NJ,494996,14742
0,0.653,0,_3203,_106414464,_13474,_1197502,1,0.75,2,39.98,F,16-25,UT,502082,15541
0,0.776,1,_3203,_106414464,_13474,_1197502,1,0.75,2,6.89,M,16-25,IL,506578,15371
0,0.252,0,_9909,_1089520383,_28840,_1203052,1,1,4,7.06,M,16-25,NY,520751,15341
0,0.028,0,_2119,_108079383,_6926,_1208329,1,1,10,9.15,M,36-45,TX,530746,15736
0,0.588,0,_1703,_104460040,_7668,_1200579,1,1.5,1,3.99,M,16-25,LA,504807,15249
0,0.533,0,_2202,_104460040,_3718,_1208251,1,2,12,5.95,M,26-35,PA,466593,14985
1,0.898,1,_9909,_107127979,_6732,_1194044,1,1,12,21.48,M,36-45,VA,498980,14567
0,0.644,0,_9909,_107127979,_6732,_1194044,1,1,4,10.58,F,26-35,FL,499908,15414
1,0.222,0,_2119,_108079383,_6926,_1208329,1,1,1,4.19,F,36-45,CO,502499,15906
0,0.252,0,_3203,_106414464,_13474,_1197502,1,0.75,1,3.99,M,36-45,NE,520383,15423
0,0.693,1,_3203,_106414464,_13474,_1197502,1,0.75,22,107.68,M,26-35,MD,528964,14927
0,0.414,0,_3203,_106414464,_13474,_1197502,1,0.75,2,20.48,M,36-45,NJ,459696,14493
1,0.734,1,_9909,_107127979,_6732,_1194044,1,1,1,4.99,M,16-25,ME,526421,15350
0,0.468,0,_3203,_106414464,_13474,_1197502,1,0.75,8,37.12,M,26-35,IL,481503,14624
0,0.316,0,_3203,_106414464,_13474,_1197502,1,0.75,2,11.69,M,36-45,MD,499632,15153
0,0.045,0,_2202,_104460040,_3718,_1208251,1,2,1,2.99,M,26-35,FL,516096,15861
1,0.954,1,_2202,_104460040,_3718,_1208251,1,2,7,14.57,M,16-25,SC,509517,15915
1,0.985,1,_2119,_108079383,_6926,_1208329,1,1,2,3.98,M,16-25,CT,580695,15533
0,0.274,0,_2202,_104460040,_3718,_1208252,1,3,1,1,M,26-35,IL,481503,14624
1,0.687,1,_9909,_107127979,_6732,_1194044,1,1,3,-2,F,16-25,WA,538145,16814
0,0.09,0,_3203,_106414464,_13474,_1197502,1,0.75,1,0.5,F,26-35,MD,507069,15625
0,0.795,1,_3203,_106414464,_13474,_1197502,1,0.75,5,14.95,F,36-45,AR,485421,15578
0,0.923,1,_2119,_108079383,_6926,_1208329,1,1,8,39.53,M,36-45,MD,499632,15153
0,0.485,0,_3203,_106414464,_13474,_1197502,1,0.75,7,6.33,M,26-35,OH,542665,15277
0,0.591,0,_2202,_104460040,_3718,_1208251,1,2,3,8.97,M,36-45,IN,493779,15559
0,0.639,0,_2202,_104460040,_3718,_1208251,1,2,2,-1.1,M,26-35,NJ,511539,15938
0,0.225,0,_5616,_104610040,_15889,_1204576,1,1,1,2.99,M,26-35,NY,500350,16188
0,0.923,1,_9909,_1089520383,_28840,_1203052,1,1,2,2,M,36-45,NY,541998,16106
0,0.719,1,_9909,_1089520383,_28840,_1203052,1,1,2,4.89,F,36-45,OK,512188,16047
0,0.024,0,_5616,_104610040,_15889,_1204576,1,1,2,2.78,F,26-35,SC,488453,14928
0,0.534,0,_9909,_1089520383,_28840,_1203052,1,1,4,5.66,M,26-35,AZ,519723,15140
0,0.663,1,_3509,_103320030,_875,_1200988,1,2,1,4.75,F,26-35,MN,520502,14704
0,0.499,0,_5619,_107717272,_102504,_1204821,1,1.5,3,15.47,M,36-45,ME,534090,16006
0,0.653,0,_1726,_104460040,_7668,_1200581,1,1.25,5,30.85,F,36-45,WI,551175,16469
0,0.576,0,_3203,_106414464,_13474,_1197502,1,0.75,10,35.51,M,16-25,UT,560327,16434
0,0.141,0,_3203,_106414464,_13474,_1197502,1,0.75,1,25.2,F,36-45,IL,518627,15672
0,0.652,0,_5616,_104610040,_15889,_1204576,1,1,4,6.2,M,16-25,FL,570370,16291
0,0.911,1,_2202,_104460040,_3718,_1208252,1,3,3,17.99,F,36-45,NY,499807,15418
0,0.857,1,_5616,_104610040,_15889,_1204576,1,1,1,3.49,M,36-45,IN,493779,15559
0,0.288,0,_2119,_108079383,_6926,_1208329,1,1,2,3.28,M,36-45,KS,529882,15734
0,0.866,1,_2202,_104460040,_3718,_1208251,1,2,2,13.98,M,26-35,IL,481503,14624
0,0.912,1,_2119,_108079383,_6926,_1208329,1,1,1,1.89,M,36-45,TX,530746,15736
0,0.761,1,_4401,_105100050,_13791,_1199258,1,2,2,5,M,16-25,IA,520152,15922
0,0.658,0,_3509,_103320030,_875,_1200988,1,2,3,14.37,F,36-45,IN,490977,14698
0,0.873,1,_2202,_104460040,_3718,_1208251,1,2,2,2,F,26-35,CA,543883,15543
0,0.428,0,_5619,_107717272,_102504,_1204821,1,1.5,2,1.98,M,26-35,LA,497364,15735
0,0.26,0,_2202,_104460040,_3718,_1208251,1,2,13,53.87,M,36-45,AZ,507350,15879
0,0.426,0,_4401,_105100050,_13791,_1199258,1,2,10,24.9,F,36-45,MI,550245,15990
0,0.165,0,_2202,_104460040,_3718,_1208251,1,2,9,35.91,M,26-35,OK,510791,15442
0,0.798,1,_2202,_104460040,_3718,_1208251,1,2,3,8.17,M,16-25,UT,560327,16434
0,0.825,1,_3203,_106414464,_13474,_1197502,1,0.75,1,3.29,M,36-45,SC,554821,16439
0,0.246,0,_3203,_106414464,_13474,_1197502,1,0.75,1,10.9,M,36-45,OH,519352,15604
0,0.497,0,_6202,_1087744888,_64486,_1208501,1,1.5,5,17.55,F,26-35,CO,518335,15966
0,0.524,0,_5558,_107120272,_5072,_1198275,1,1.5,1,2.5,M,16-25,IN,526930,14904
1,0.729,1,_2119,_108079383,_6926,_1208329,1,1,5,18.15,M,16-25,ME,526421,15350
0,0.842,1,_6202,_1087744888,_64486,_1208501,1,1.5,1,0.69,F,16-25,CA,501278,15143
0,0.242,0,_6202,_1087744888,_64486,_1208503,1,1.5,5,23.95,M,36-45,CA,544706,15392
0,0.517,0,_3203,_106414464,_13474,_1197502,1,0.75,1,15.18,M,36-45,OH,517362,15509
0,0.854,1,_3203,_106414464,_13474,_1197502,1,0.75,7,42.43,F,26-35,CO,518335,15966
0,0.011,0,_3504,_104460040,_7668,_1200584,1,1.25,12,18,M,16-25,OK,540083,14979
0,0.821,1,_1726,_104460040,_7668,_1200582,1,1.25,5,17.45,F,16-25,UT,502082,15541
0,0.702,1,_5616,_104610040,_15889,_1204576,1,1,12,35.28,M,16-25,SC,509517,15915
0,0.305,0,_1726,_104460040,_7668,_1200581,1,1.25,3,17.48,M,26-35,PA,466593,14985
0,0.158,0,_5616,_104610040,_15889,_1204576,1,1,1,3.99,M,36-45,KY,534341,15405
0,0.14,0,_4401,_105100050,_13791,_1199258,1,2,1,4.69,M,26-35,MD,528964,14927
0,0.631,0,_9909,_1089520383,_28840,_1203052,1,1,3,9.67,F,26-35,MD,507069,15625
1,0.733,1,_2119,_108079383,_6926,_1208329,1,1,4,8.96,M,26-35,SC,538325,16451
0,0.288,0,_2202,_104460040,_3718,_1208251,1,2,1,2,F,16-25,MD,555236,15203
0,0.163,0,_5558,_107120272,_5072,_1198273,1,1.5,1,6.39,F,26-35,LA,551987,16389
0,0.62,0,_3203,_106414464,_13474,_1197502,1,0.75,4,12.45,M,16-25,MI,499035,15792
0,0.833,1,_4401,_105100050,_13791,_1199256,1,2,2,9.98,M,16-25,KY,497023,15658
0,0.238,0,_2119,_108079383,_6926,_1208329,1,1,6,22.34,F,36-45,KS,495115,15297
0,0.62,0,_3203,_106414464,_13474,_1197502,1,0.75,1,5.32,F,26-35,NJ,494996,14742
0,0.47,0,_3203,_106414464,_13474,_1197502,1,0.75,10,8.92,F,26-35,NE,603645,16364
0,0.452,0,_2202,_104460040,_3718,_1208251,1,2,2,9.78,M,16-25,NE,509160,16047
0,0.629,0,_1703,_104460040,_7668,_1200579,1,1.5,5,21.45,F,36-45,AR,485421,15578
1,0.947,1,_2119,_108079383,_6926,_1208329,1,1,1,4.3,F,26-35,ME,532723,14606
0,0.124,0,_3203,_106414464,_13474,_1197502,1,0.75,5,26.75,M,26-35,IL,481503,14624
0,0.925,1,_3203,_106414464,_13474,_1197502,1,0.75,13,44.87,F,26-35,VA,430057,13973
0,0.093,0,_4401,_105100050,_13791,_1199256,1,2,2,2.58,M,36-45,OH,517362,15509
0,0.515,0,_5616,_104610040,_15889,_1204576,1,1,12,69.91,M,36-45,AZ,507350,15879
0,0.529,0,_3203,_106414464,_13474,_1197502,1,0.75,9,19.01,F,26-35,FL,499908,15414
0,0.961,1,_5619,_107717272,_102504,_1204821,1,1.5,2,2.25,F,36-45,AL,469383,14668
0,0.058,0,_2202,_104460040,_3718,_1208251,1,2,10,120.6,M,36-45,IA,540908,15598
